Seasonality;access;EIR;prev_allInf_210_baseline_yearly;prev_210_cat;seed
seas3mo;0.0972;0.075;0.263834877;(0.2,0.3];3
seas3mo;0.0972;0.075;0.300875501;(0.2,0.3];4
seas3mo;0.0972;0.075;0.225119468;(0.2,0.3];5
seas3mo;0.0972;0.075;0.265813129;(0.2,0.3];6
seas3mo;0.0972;0.075;0.239914293;(0.2,0.3];7
seas3mo;0.0972;0.075;0.166749641;(0.1,0.2];8
seas3mo;0.0972;0.075;0.282272578;(0.2,0.3];9
seas3mo;0.0972;0.075;0.261264081;(0.2,0.3];10
seas4mo;0.0972;0.075;0.217217378;(0.2,0.3];1
seas4mo;0.0972;0.075;0.328129429;(0.3,0.4];2
seas4mo;0.0972;0.075;0.255484844;(0.2,0.3];3
seas4mo;0.0972;0.075;0.136096899;(0.1,0.2];4
seas4mo;0.0972;0.075;0.233985286;(0.2,0.3];5
seas4mo;0.0972;0.075;0.236766634;(0.2,0.3];6
seas4mo;0.0972;0.075;0.273240125;(0.2,0.3];7
seas4mo;0.0972;0.075;0.229921043;(0.2,0.3];8
seas4mo;0.0972;0.075;0.296989352;(0.2,0.3];9
seas4mo;0.0972;0.075;0.178396919;(0.1,0.2];10
seas3mo;0.2412;0.075;0.226218299;(0.2,0.3];1
seas3mo;0.2412;0.075;0;NA;4
seas3mo;0.2412;0.075;0.03582207;(0,0.1];5
seas3mo;0.2412;0.075;0.222655791;(0.2,0.3];7
seas3mo;0.2412;0.075;0.124996937;(0.1,0.2];8
seas3mo;0.2412;0.075;0.280595325;(0.2,0.3];9
seas3mo;0.2412;0.075;0.198066009;(0.1,0.2];10
seas4mo;0.2412;0.075;0;NA;1
seas4mo;0.2412;0.075;0.195095613;(0.1,0.2];2
seas4mo;0.2412;0.075;0.197136978;(0.1,0.2];3
seas4mo;0.2412;0.075;0.23485425;(0.2,0.3];4
seas4mo;0.2412;0.075;0.202237767;(0.1,0.2];5
seas4mo;0.2412;0.075;0.132093079;(0.1,0.2];6
seas4mo;0.2412;0.075;0.315485355;(0.3,0.4];7
seas4mo;0.2412;0.075;0.132075244;(0.1,0.2];8
seas4mo;0.2412;0.075;0.173044446;(0.1,0.2];9
seas4mo;0.2412;0.075;0;NA;10
seas5mo;0.0972;0.09;0.000287071;NA;1
seas5mo;0.0972;0.09;0.072112018;(0,0.1];2
seas5mo;0.0972;0.09;0;NA;3
seas5mo;0.0972;0.09;0.003457142;NA;4
seas5mo;0.0972;0.09;0.039996663;(0,0.1];5
seas5mo;0.0972;0.09;0.075202682;(0,0.1];6
seas5mo;0.0972;0.09;0.119866858;(0.1,0.2];7
seas5mo;0.0972;0.09;0.110216096;(0.1,0.2];8
seas5mo;0.0972;0.09;0.146551721;(0.1,0.2];9
seas5mo;0.0972;0.09;0.003496225;NA;10
seas3mo;0.04;0.1;0.213618111;(0.2,0.3];1
seas3mo;0.04;0.1;0.147559621;(0.1,0.2];2
seas3mo;0.04;0.1;0.285099851;(0.2,0.3];3
seas3mo;0.04;0.1;0.19694484;(0.1,0.2];4
seas3mo;0.04;0.1;0.268187566;(0.2,0.3];5
seas3mo;0.04;0.1;0.281738486;(0.2,0.3];6
seas3mo;0.04;0.1;0.303109864;(0.2,0.3];7
seas3mo;0.04;0.1;0.219375502;(0.2,0.3];8
seas3mo;0.04;0.1;0.301394277;(0.2,0.3];9
seas3mo;0.04;0.1;0.239620336;(0.2,0.3];10
seas4mo;0.04;0.1;0.24401228;(0.2,0.3];1
seas4mo;0.04;0.1;0.271776571;(0.2,0.3];2
seas4mo;0.04;0.1;0.246483732;(0.2,0.3];3
seas4mo;0.04;0.1;0.202008262;(0.1,0.2];4
seas4mo;0.04;0.1;0.2354286;(0.2,0.3];5
seas4mo;0.04;0.1;0.246502748;(0.2,0.3];6
seas4mo;0.04;0.1;0.202973072;(0.1,0.2];7
seas4mo;0.04;0.1;0.144697258;(0.1,0.2];8
seas4mo;0.04;0.1;0.291315707;(0.2,0.3];9
seas4mo;0.04;0.1;0.131242717;(0.1,0.2];10
seas3mo;0.0972;0.1;0.275830428;(0.2,0.3];1
seas3mo;0.0972;0.1;0.225343643;(0.2,0.3];2
seas3mo;0.0972;0.1;0.102817241;(0,0.1];3
seas3mo;0.0972;0.1;0.263158881;(0.2,0.3];4
seas3mo;0.0972;0.1;0.151464365;(0.1,0.2];5
seas3mo;0.0972;0.1;0.13531635;(0.1,0.2];7
seas3mo;0.0972;0.1;0.242827366;(0.2,0.3];8
seas3mo;0.0972;0.1;0.299194864;(0.2,0.3];9
seas3mo;0.0972;0.1;0.239607503;(0.2,0.3];10
seas4mo;0.0972;0.1;0.23134286;(0.2,0.3];1
seas4mo;0.0972;0.1;0.179328122;(0.1,0.2];2
seas4mo;0.0972;0.1;0.237136044;(0.2,0.3];3
seas4mo;0.0972;0.1;0.239582918;(0.2,0.3];4
seas4mo;0.0972;0.1;0.204023345;(0.1,0.2];5
seas4mo;0.0972;0.1;0.18819238;(0.1,0.2];6
seas4mo;0.0972;0.1;0.235571679;(0.2,0.3];7
seas4mo;0.0972;0.1;0.182259431;(0.1,0.2];8
seas4mo;0.0972;0.1;0.258681784;(0.2,0.3];9
seas4mo;0.0972;0.1;0.079482482;(0,0.1];10
seas3mo;0.2412;0.1;0.202080853;(0.1,0.2];1
seas3mo;0.2412;0.1;0.148077052;(0.1,0.2];2
seas3mo;0.2412;0.1;0.227813784;(0.2,0.3];3
seas3mo;0.2412;0.1;0.165282264;(0.1,0.2];4
seas3mo;0.2412;0.1;0.240264008;(0.2,0.3];5
seas3mo;0.2412;0.1;0.26552235;(0.2,0.3];6
seas3mo;0.2412;0.1;0.256974713;(0.2,0.3];7
seas3mo;0.2412;0.1;0.212403492;(0.2,0.3];8
seas3mo;0.2412;0.1;0.255940014;(0.2,0.3];9
seas3mo;0.2412;0.1;0.204911437;(0.1,0.2];10
seas4mo;0.2412;0.1;0.153388951;(0.1,0.2];1
seas4mo;0.2412;0.1;0.165720167;(0.1,0.2];2
seas4mo;0.2412;0.1;0;NA;3
seas4mo;0.2412;0.1;0.218863972;(0.2,0.3];4
seas4mo;0.2412;0.1;0.221385326;(0.2,0.3];5
seas4mo;0.2412;0.1;0.129395891;(0.1,0.2];6
seas4mo;0.2412;0.1;0.259835846;(0.2,0.3];7
seas4mo;0.2412;0.1;0.160522212;(0.1,0.2];8
seas4mo;0.2412;0.1;0.209568912;(0.2,0.3];9
seas4mo;0.2412;0.1;0.193783439;(0.1,0.2];10
seas6mo;0.04;0.15;0.092622467;(0,0.1];1
seas6mo;0.04;0.15;0.039584533;(0,0.1];2
seas6mo;0.04;0.15;0.045936781;(0,0.1];3
seas6mo;0.04;0.15;0.025811097;(0,0.1];4
seas6mo;0.04;0.15;0.039489532;(0,0.1];5
seas6mo;0.04;0.15;0.073500228;(0,0.1];6
seas6mo;0.04;0.15;0.111450212;(0.1,0.2];7
seas6mo;0.04;0.15;0.011692414;(0,0.1];8
seas6mo;0.04;0.15;0.06180147;(0,0.1];9
seas6mo;0.04;0.15;0.107423068;(0.1,0.2];10
seas4mo;0.04;0.25;0.248771587;(0.2,0.3];1
seas4mo;0.04;0.25;0.302737302;(0.2,0.3];2
seas4mo;0.04;0.25;0.247896455;(0.2,0.3];3
seas4mo;0.04;0.25;0.289583109;(0.2,0.3];4
seas4mo;0.04;0.25;0.246979727;(0.2,0.3];5
seas4mo;0.04;0.25;0.230362588;(0.2,0.3];6
seas4mo;0.04;0.25;0.274682183;(0.2,0.3];7
seas4mo;0.04;0.25;0.191361153;(0.1,0.2];8
seas4mo;0.04;0.25;0.294566402;(0.2,0.3];9
seas4mo;0.04;0.25;0.323302784;(0.3,0.4];10
seas9mo;0.04;0.25;0.107723703;(0.1,0.2];1
seas9mo;0.04;0.25;0.077795702;(0,0.1];2
seas9mo;0.04;0.25;0.055872593;(0,0.1];3
seas9mo;0.04;0.25;0.043348979;(0,0.1];4
seas9mo;0.04;0.25;0.060295765;(0,0.1];5
seas9mo;0.04;0.25;0.101154113;(0,0.1];6
seas9mo;0.04;0.25;0.129008834;(0.1,0.2];7
seas9mo;0.04;0.25;0.055439574;(0,0.1];8
seas9mo;0.04;0.25;0.04471011;(0,0.1];9
seas9mo;0.04;0.25;0.119233883;(0.1,0.2];10
seas6mo;0.0972;0.25;0.084186295;(0,0.1];1
seas6mo;0.0972;0.25;0.050812361;(0,0.1];2
seas6mo;0.0972;0.25;0.067473522;(0,0.1];3
seas6mo;0.0972;0.25;0.058403726;(0,0.1];4
seas6mo;0.0972;0.25;0.080252431;(0,0.1];5
seas6mo;0.0972;0.25;0.074379722;(0,0.1];6
seas6mo;0.0972;0.25;0.080502368;(0,0.1];7
seas6mo;0.0972;0.25;0.05834453;(0,0.1];8
seas6mo;0.0972;0.25;0.044867894;(0,0.1];9
seas6mo;0.0972;0.25;0.050236913;(0,0.1];10
seas5mo;0.2412;0.25;0.146671588;(0.1,0.2];1
seas5mo;0.2412;0.25;0;NA;2
seas5mo;0.2412;0.25;0.059673621;(0,0.1];3
seas5mo;0.2412;0.25;0.03921817;(0,0.1];4
seas5mo;0.2412;0.25;0.008067277;(0,0.1];5
seas5mo;0.2412;0.25;0.069199145;(0,0.1];6
seas5mo;0.2412;0.25;0.067584553;(0,0.1];7
seas5mo;0.2412;0.25;0.083527786;(0,0.1];8
seas5mo;0.2412;0.25;0;NA;9
seas5mo;0.2412;0.25;0.005711857;(0,0.1];10
seas5mo;0.04;0.35;0.219427533;(0.2,0.3];1
seas5mo;0.04;0.35;0.122047715;(0.1,0.2];2
seas5mo;0.04;0.35;0.13942469;(0.1,0.2];3
seas5mo;0.04;0.35;0.126107817;(0.1,0.2];4
seas5mo;0.04;0.35;0.154472053;(0.1,0.2];5
seas5mo;0.04;0.35;0.158678771;(0.1,0.2];6
seas5mo;0.04;0.35;0.156290421;(0.1,0.2];7
seas5mo;0.04;0.35;0.195979147;(0.1,0.2];8
seas5mo;0.04;0.35;0.177922279;(0.1,0.2];9
seas5mo;0.04;0.35;0.141426638;(0.1,0.2];10
seas9mo;0.0972;0.35;0.031237923;(0,0.1];1
seas9mo;0.0972;0.35;0.022263667;(0,0.1];2
seas9mo;0.0972;0.35;0.040052922;(0,0.1];3
seas9mo;0.0972;0.35;0.052911821;(0,0.1];4
seas9mo;0.0972;0.35;0.101056308;(0,0.1];5
seas9mo;0.0972;0.35;0.124118975;(0.1,0.2];6
seas9mo;0.0972;0.35;0.040416683;(0,0.1];7
seas9mo;0.0972;0.35;0.029270092;(0,0.1];8
seas9mo;0.0972;0.35;0.013109804;(0,0.1];9
seas9mo;0.0972;0.35;0.035371259;(0,0.1];10
seas3mo;0.04;0.4;0.342099657;(0.3,0.4];1
seas3mo;0.04;0.4;0.213416652;(0.2,0.3];2
seas3mo;0.04;0.4;0.287854885;(0.2,0.3];3
seas3mo;0.04;0.4;0.296814554;(0.2,0.3];4
seas3mo;0.04;0.4;0.264371425;(0.2,0.3];5
seas3mo;0.04;0.4;0.273540509;(0.2,0.3];6
seas3mo;0.04;0.4;0.367861167;(0.3,0.4];7
seas3mo;0.04;0.4;0.340050018;(0.3,0.4];8
seas3mo;0.04;0.4;0.295212917;(0.2,0.3];9
seas3mo;0.04;0.4;0.284445675;(0.2,0.3];10
seas6mo;0.04;0.4;0.17074276;(0.1,0.2];1
seas6mo;0.04;0.4;0.108746802;(0.1,0.2];2
seas6mo;0.04;0.4;0.170523873;(0.1,0.2];3
seas6mo;0.04;0.4;0.126887879;(0.1,0.2];4
seas6mo;0.04;0.4;0.150199852;(0.1,0.2];5
seas6mo;0.04;0.4;0.170002995;(0.1,0.2];6
seas6mo;0.04;0.4;0.126197881;(0.1,0.2];7
seas6mo;0.04;0.4;0.150461551;(0.1,0.2];8
seas6mo;0.04;0.4;0.128572707;(0.1,0.2];9
seas6mo;0.04;0.4;0.150151934;(0.1,0.2];10
seas9mo;0.04;0.5;0.125298996;(0.1,0.2];1
seas9mo;0.04;0.5;0.114085961;(0.1,0.2];2
seas9mo;0.04;0.5;0.184943272;(0.1,0.2];3
seas9mo;0.04;0.5;0.157401879;(0.1,0.2];4
seas9mo;0.04;0.5;0.134943424;(0.1,0.2];5
seas9mo;0.04;0.5;0.18752443;(0.1,0.2];6
seas9mo;0.04;0.5;0.132968452;(0.1,0.2];7
seas9mo;0.04;0.5;0.136014538;(0.1,0.2];8
seas9mo;0.04;0.5;0.186093622;(0.1,0.2];9
seas9mo;0.04;0.5;0.144713248;(0.1,0.2];10
seas5mo;0.0972;0.5;0.138949138;(0.1,0.2];1
seas5mo;0.0972;0.5;0.136070457;(0.1,0.2];2
seas5mo;0.0972;0.5;0.090519791;(0,0.1];3
seas5mo;0.0972;0.5;0.160842465;(0.1,0.2];4
seas5mo;0.0972;0.5;0.130199021;(0.1,0.2];5
seas5mo;0.0972;0.5;0.114227837;(0.1,0.2];6
seas5mo;0.0972;0.5;0.164028659;(0.1,0.2];7
seas5mo;0.0972;0.5;0.199118418;(0.1,0.2];8
seas5mo;0.0972;0.5;0.125819163;(0.1,0.2];9
seas5mo;0.0972;0.5;0.083432258;(0,0.1];10
seas6mo;0.2412;0.5;0.087568978;(0,0.1];1
seas6mo;0.2412;0.5;0.041379801;(0,0.1];2
seas6mo;0.2412;0.5;0.026171719;(0,0.1];3
seas6mo;0.2412;0.5;0.052855001;(0,0.1];4
seas6mo;0.2412;0.5;0.018140216;(0,0.1];5
seas6mo;0.2412;0.5;0.033738923;(0,0.1];6
seas6mo;0.2412;0.5;0.048374364;(0,0.1];7
seas6mo;0.2412;0.5;0.025769802;(0,0.1];8
seas6mo;0.2412;0.5;0.015637567;(0,0.1];9
seas6mo;0.2412;0.5;0.056681675;(0,0.1];10
seas6mo;0.0972;0.6;0.158057332;(0.1,0.2];1
seas6mo;0.0972;0.6;0.136797832;(0.1,0.2];2
seas6mo;0.0972;0.6;0.175850647;(0.1,0.2];3
seas6mo;0.0972;0.6;0.112560092;(0.1,0.2];4
seas6mo;0.0972;0.6;0.141328607;(0.1,0.2];5
seas6mo;0.0972;0.6;0.158554712;(0.1,0.2];6
seas6mo;0.0972;0.6;0.154128414;(0.1,0.2];7
seas6mo;0.0972;0.6;0.166681876;(0.1,0.2];8
seas6mo;0.0972;0.6;0.160048609;(0.1,0.2];9
seas6mo;0.0972;0.6;0.17452236;(0.1,0.2];10
seas5mo;0.04;0.7;0.260775552;(0.2,0.3];1
seas5mo;0.04;0.7;0.211155027;(0.2,0.3];2
seas5mo;0.04;0.7;0.270789668;(0.2,0.3];3
seas5mo;0.04;0.7;0.264359273;(0.2,0.3];4
seas5mo;0.04;0.7;0.246904178;(0.2,0.3];5
seas5mo;0.04;0.7;0.21554162;(0.2,0.3];6
seas5mo;0.04;0.7;0.225037635;(0.2,0.3];7
seas5mo;0.04;0.7;0.227593818;(0.2,0.3];8
seas5mo;0.04;0.7;0.293264583;(0.2,0.3];9
seas5mo;0.04;0.7;0.225546626;(0.2,0.3];10
seas4mo;0.0972;0.7;0.297981696;(0.2,0.3];1
seas4mo;0.0972;0.7;0.256222709;(0.2,0.3];2
seas4mo;0.0972;0.7;0.236108751;(0.2,0.3];3
seas4mo;0.0972;0.7;0.276913268;(0.2,0.3];4
seas4mo;0.0972;0.7;0.254006389;(0.2,0.3];5
seas4mo;0.0972;0.7;0.286340506;(0.2,0.3];6
seas4mo;0.0972;0.7;0.290192602;(0.2,0.3];7
seas4mo;0.0972;0.7;0.286275891;(0.2,0.3];8
seas4mo;0.0972;0.7;0.2466743;(0.2,0.3];9
seas4mo;0.0972;0.7;0.276013688;(0.2,0.3];10
seas4mo;0.04;0.75;0.329904411;(0.3,0.4];1
seas4mo;0.04;0.75;0.371665794;(0.3,0.4];2
seas4mo;0.04;0.75;0.381933689;(0.3,0.4];3
seas4mo;0.04;0.75;0.361276965;(0.3,0.4];4
seas4mo;0.04;0.75;0.35627989;(0.3,0.4];5
seas4mo;0.04;0.75;0.338753035;(0.3,0.4];6
seas4mo;0.04;0.75;0.384985367;(0.3,0.4];7
seas4mo;0.04;0.75;0.390214491;(0.3,0.4];8
seas4mo;0.04;0.75;0.255178173;(0.2,0.3];9
seas4mo;0.04;0.75;0.340244231;(0.3,0.4];10
seas6mo;0.04;0.75;0.246601316;(0.2,0.3];1
seas6mo;0.04;0.75;0.239106795;(0.2,0.3];2
seas6mo;0.04;0.75;0.24883674;(0.2,0.3];3
seas6mo;0.04;0.75;0.267329351;(0.2,0.3];4
seas6mo;0.04;0.75;0.29743088;(0.2,0.3];5
seas6mo;0.04;0.75;0.250019629;(0.2,0.3];6
seas6mo;0.04;0.75;0.244164095;(0.2,0.3];7
seas6mo;0.04;0.75;0.24433561;(0.2,0.3];8
seas6mo;0.04;0.75;0.247415646;(0.2,0.3];9
seas6mo;0.04;0.75;0.237060496;(0.2,0.3];10
seas9mo;0.0972;0.75;0.147466779;(0.1,0.2];1
seas9mo;0.0972;0.75;0.134942374;(0.1,0.2];2
seas9mo;0.0972;0.75;0.140940646;(0.1,0.2];3
seas9mo;0.0972;0.75;0.185506261;(0.1,0.2];4
seas9mo;0.0972;0.75;0.130927702;(0.1,0.2];5
seas9mo;0.0972;0.75;0.161760352;(0.1,0.2];6
seas9mo;0.0972;0.75;0.149290687;(0.1,0.2];7
seas9mo;0.0972;0.75;0.172865252;(0.1,0.2];8
seas9mo;0.0972;0.75;0.123386517;(0.1,0.2];9
seas9mo;0.0972;0.75;0.196844471;(0.1,0.2];10
seas9mo;0.2412;0.78;0.074106882;(0,0.1];1
seas9mo;0.2412;0.78;0.076726611;(0,0.1];2
seas9mo;0.2412;0.78;0.072617287;(0,0.1];3
seas9mo;0.2412;0.78;0.09051576;(0,0.1];4
seas9mo;0.2412;0.78;0.099676304;(0,0.1];5
seas9mo;0.2412;0.78;0.099181668;(0,0.1];6
seas9mo;0.2412;0.78;0.082850533;(0,0.1];7
seas9mo;0.2412;0.78;0.047379632;(0,0.1];8
seas9mo;0.2412;0.78;0.079601284;(0,0.1];9
seas9mo;0.2412;0.78;0.061367895;(0,0.1];10
seas9mo;0.04;0.8;0.226468292;(0.2,0.3];1
seas9mo;0.04;0.8;0.217586104;(0.2,0.3];2
seas9mo;0.04;0.8;0.241159348;(0.2,0.3];3
seas9mo;0.04;0.8;0.268252769;(0.2,0.3];4
seas9mo;0.04;0.8;0.2797272;(0.2,0.3];5
seas9mo;0.04;0.8;0.268092306;(0.2,0.3];6
seas9mo;0.04;0.8;0.252658858;(0.2,0.3];7
seas9mo;0.04;0.8;0.25928664;(0.2,0.3];8
seas9mo;0.04;0.8;0.238197441;(0.2,0.3];9
seas9mo;0.04;0.8;0.269784968;(0.2,0.3];10
seas9mo;0.2412;0.8;0.074877851;(0,0.1];1
seas9mo;0.2412;0.8;0.069133097;(0,0.1];2
seas9mo;0.2412;0.8;0.086443368;(0,0.1];3
seas9mo;0.2412;0.8;0.084245784;(0,0.1];4
seas9mo;0.2412;0.8;0.059734783;(0,0.1];5
seas9mo;0.2412;0.8;0.073904114;(0,0.1];6
seas9mo;0.2412;0.8;0.073065248;(0,0.1];7
seas9mo;0.2412;0.8;0.040598285;(0,0.1];8
seas9mo;0.2412;0.8;0.095841806;(0,0.1];9
seas9mo;0.2412;0.8;0.061911514;(0,0.1];10
seas3mo;0.04;1;0.397895699;(0.3,0.4];1
seas3mo;0.04;1;0.371495964;(0.3,0.4];2
seas3mo;0.04;1;0.403499837;(0.3,0.4];3
seas3mo;0.04;1;0.396655776;(0.3,0.4];4
seas3mo;0.04;1;0.41341479;(0.4,0.5];5
seas3mo;0.04;1;0.411168536;(0.4,0.5];6
seas3mo;0.04;1;0.38489462;(0.3,0.4];7
seas3mo;0.04;1;0.390664856;(0.3,0.4];8
seas3mo;0.04;1;0.376347501;(0.3,0.4];9
seas3mo;0.04;1;0.408038846;(0.4,0.5];10
seas4mo;0.04;1;0.404976118;(0.3,0.4];1
seas4mo;0.04;1;0.412791963;(0.4,0.5];2
seas4mo;0.04;1;0.422561875;(0.4,0.5];3
seas4mo;0.04;1;0.379140946;(0.3,0.4];4
seas4mo;0.04;1;0.444368025;(0.4,0.5];5
seas4mo;0.04;1;0.405179979;(0.4,0.5];6
seas4mo;0.04;1;0.377969028;(0.3,0.4];7
seas4mo;0.04;1;0.390260315;(0.3,0.4];8
seas4mo;0.04;1;0.396269653;(0.3,0.4];9
seas4mo;0.04;1;0.376823816;(0.3,0.4];10
seas3mo;0.0972;1;0.324981583;(0.3,0.4];1
seas3mo;0.0972;1;0.267385521;(0.2,0.3];2
seas3mo;0.0972;1;0.332160685;(0.3,0.4];3
seas3mo;0.0972;1;0.32820828;(0.3,0.4];4
seas3mo;0.0972;1;0.287715714;(0.2,0.3];5
seas3mo;0.0972;1;0.296131758;(0.2,0.3];6
seas3mo;0.0972;1;0.305341465;(0.3,0.4];7
seas3mo;0.0972;1;0.290880019;(0.2,0.3];8
seas3mo;0.0972;1;0.299830033;(0.2,0.3];9
seas3mo;0.0972;1;0.318672269;(0.3,0.4];10
seas4mo;0.0972;1;0.319966167;(0.3,0.4];1
seas4mo;0.0972;1;0.303143405;(0.2,0.3];2
seas4mo;0.0972;1;0.320459923;(0.3,0.4];3
seas4mo;0.0972;1;0.301848027;(0.2,0.3];4
seas4mo;0.0972;1;0.338013489;(0.3,0.4];5
seas4mo;0.0972;1;0.322639182;(0.3,0.4];6
seas4mo;0.0972;1;0.336119504;(0.3,0.4];7
seas4mo;0.0972;1;0.310623221;(0.3,0.4];8
seas4mo;0.0972;1;0.321210631;(0.3,0.4];9
seas4mo;0.0972;1;0.301960938;(0.2,0.3];10
seas6mo;0.0972;1;0.219976371;(0.2,0.3];1
seas6mo;0.0972;1;0.208882198;(0.2,0.3];2
seas6mo;0.0972;1;0.231084041;(0.2,0.3];3
seas6mo;0.0972;1;0.241833656;(0.2,0.3];4
seas6mo;0.0972;1;0.23945318;(0.2,0.3];5
seas6mo;0.0972;1;0.242440821;(0.2,0.3];6
seas6mo;0.0972;1;0.24612645;(0.2,0.3];7
seas6mo;0.0972;1;0.265683226;(0.2,0.3];8
seas6mo;0.0972;1;0.248686271;(0.2,0.3];9
seas6mo;0.0972;1;0.23662893;(0.2,0.3];10
seas3mo;0.2412;1;0.232729559;(0.2,0.3];1
seas3mo;0.2412;1;0.200159939;(0.1,0.2];2
seas3mo;0.2412;1;0.204920159;(0.1,0.2];3
seas3mo;0.2412;1;0.1951965;(0.1,0.2];4
seas3mo;0.2412;1;0.222960922;(0.2,0.3];5
seas3mo;0.2412;1;0.211232401;(0.2,0.3];6
seas3mo;0.2412;1;0.226694831;(0.2,0.3];7
seas3mo;0.2412;1;0.220147904;(0.2,0.3];8
seas3mo;0.2412;1;0.238413422;(0.2,0.3];9
seas3mo;0.2412;1;0.226383996;(0.2,0.3];10
seas4mo;0.2412;1;0.228129342;(0.2,0.3];1
seas4mo;0.2412;1;0.193313459;(0.1,0.2];2
seas4mo;0.2412;1;0.224854272;(0.2,0.3];3
seas4mo;0.2412;1;0.194166227;(0.1,0.2];4
seas4mo;0.2412;1;0.191027466;(0.1,0.2];5
seas4mo;0.2412;1;0.189270845;(0.1,0.2];6
seas4mo;0.2412;1;0.153647686;(0.1,0.2];7
seas4mo;0.2412;1;0.205616902;(0.2,0.3];8
seas4mo;0.2412;1;0.213408158;(0.2,0.3];9
seas4mo;0.2412;1;0.197622502;(0.1,0.2];10
seas5mo;0.2412;1;0.149341387;(0.1,0.2];1
seas5mo;0.2412;1;0.136044249;(0.1,0.2];2
seas5mo;0.2412;1;0.143681212;(0.1,0.2];3
seas5mo;0.2412;1;0.11448048;(0.1,0.2];4
seas5mo;0.2412;1;0.130382444;(0.1,0.2];5
seas5mo;0.2412;1;0.093599449;(0,0.1];6
seas5mo;0.2412;1;0.168491834;(0.1,0.2];7
seas5mo;0.2412;1;0.140456869;(0.1,0.2];8
seas5mo;0.2412;1;0.130098404;(0.1,0.2];9
seas5mo;0.2412;1;0.10216116;(0,0.1];10
seas5mo;0.04;1.1;0.336353436;(0.3,0.4];1
seas5mo;0.04;1.1;0.314388761;(0.3,0.4];2
seas5mo;0.04;1.1;0.351820684;(0.3,0.4];3
seas5mo;0.04;1.1;0.358228198;(0.3,0.4];4
seas5mo;0.04;1.1;0.364339965;(0.3,0.4];5
seas5mo;0.04;1.1;0.340303533;(0.3,0.4];6
seas5mo;0.04;1.1;0.349607286;(0.3,0.4];7
seas5mo;0.04;1.1;0.357695689;(0.3,0.4];8
seas5mo;0.04;1.1;0.35612786;(0.3,0.4];9
seas5mo;0.04;1.1;0.343659741;(0.3,0.4];10
seas5mo;0.0972;1.1;0.231594228;(0.2,0.3];1
seas5mo;0.0972;1.1;0.231619505;(0.2,0.3];2
seas5mo;0.0972;1.1;0.296513572;(0.2,0.3];3
seas5mo;0.0972;1.1;0.270222367;(0.2,0.3];4
seas5mo;0.0972;1.1;0.266895308;(0.2,0.3];5
seas5mo;0.0972;1.1;0.26753191;(0.2,0.3];6
seas5mo;0.0972;1.1;0.252351292;(0.2,0.3];7
seas5mo;0.0972;1.1;0.255485268;(0.2,0.3];8
seas5mo;0.0972;1.1;0.253857798;(0.2,0.3];9
seas5mo;0.0972;1.1;0.241842691;(0.2,0.3];10
seas6mo;0.2412;1.1;0.129516027;(0.1,0.2];1
seas6mo;0.2412;1.1;0.138123508;(0.1,0.2];2
seas6mo;0.2412;1.1;0.150546456;(0.1,0.2];3
seas6mo;0.2412;1.1;0.124277323;(0.1,0.2];4
seas6mo;0.2412;1.1;0.161939163;(0.1,0.2];5
seas6mo;0.2412;1.1;0.124884035;(0.1,0.2];6
seas6mo;0.2412;1.1;0.142630585;(0.1,0.2];7
seas6mo;0.2412;1.1;0.156902855;(0.1,0.2];8
seas6mo;0.2412;1.1;0.129485012;(0.1,0.2];9
seas6mo;0.2412;1.1;0.142348672;(0.1,0.2];10
seas9mo;0.0972;1.15;0.248574741;(0.2,0.3];1
seas9mo;0.0972;1.15;0.215633906;(0.2,0.3];2
seas9mo;0.0972;1.15;0.24341013;(0.2,0.3];3
seas9mo;0.0972;1.15;0.243095863;(0.2,0.3];4
seas9mo;0.0972;1.15;0.255842868;(0.2,0.3];5
seas9mo;0.0972;1.15;0.280696762;(0.2,0.3];6
seas9mo;0.0972;1.15;0.265714935;(0.2,0.3];7
seas9mo;0.0972;1.15;0.256207822;(0.2,0.3];8
seas9mo;0.0972;1.15;0.266926963;(0.2,0.3];9
seas9mo;0.0972;1.15;0.274561175;(0.2,0.3];10
seas9mo;0.2412;1.15;0.112983682;(0.1,0.2];1
seas9mo;0.2412;1.15;0.116569398;(0.1,0.2];2
seas9mo;0.2412;1.15;0.119841524;(0.1,0.2];3
seas9mo;0.2412;1.15;0.151981877;(0.1,0.2];4
seas9mo;0.2412;1.15;0.139057992;(0.1,0.2];5
seas9mo;0.2412;1.15;0.131153918;(0.1,0.2];6
seas9mo;0.2412;1.15;0.154726736;(0.1,0.2];7
seas9mo;0.2412;1.15;0.120358939;(0.1,0.2];8
seas9mo;0.2412;1.15;0.141227296;(0.1,0.2];9
seas9mo;0.2412;1.15;0.139557083;(0.1,0.2];10
seas6mo;0.04;1.2;0.368040144;(0.3,0.4];1
seas6mo;0.04;1.2;0.349695941;(0.3,0.4];2
seas6mo;0.04;1.2;0.370047329;(0.3,0.4];3
seas6mo;0.04;1.2;0.380708627;(0.3,0.4];4
seas6mo;0.04;1.2;0.407416986;(0.4,0.5];5
seas6mo;0.04;1.2;0.369996614;(0.3,0.4];6
seas6mo;0.04;1.2;0.373338295;(0.3,0.4];7
seas6mo;0.04;1.2;0.398258364;(0.3,0.4];8
seas6mo;0.04;1.2;0.384704856;(0.3,0.4];9
seas6mo;0.04;1.2;0.334738721;(0.3,0.4];10
