Seasonality;access;EIR;prev_allInf_210_baseline_yearly;prev_210_cat;seed
seas5mo;0.2412;8;0.535791128;(0.5,0.6];1
seas5mo;0.2412;8;0.536646003;(0.5,0.6];2
seas5mo;0.2412;8;0.540503967;(0.5,0.6];3
seas5mo;0.2412;8;0.542536256;(0.5,0.6];4
seas5mo;0.2412;8;0.5452133;(0.5,0.6];5
seas5mo;0.2412;8;0.548980901;(0.5,0.6];6
seas5mo;0.2412;8;0.547425122;(0.5,0.6];7
seas5mo;0.2412;8;0.541682908;(0.5,0.6];8
seas5mo;0.2412;8;0.552741757;(0.5,0.6];9
seas5mo;0.2412;8;0.548057361;(0.5,0.6];10
seas3mo;0.2412;10;0.453746204;(0.4,0.5];1
seas3mo;0.2412;10;0.450787488;(0.4,0.5];2
seas3mo;0.2412;10;0.454459308;(0.4,0.5];3
seas3mo;0.2412;10;0.453375446;(0.4,0.5];4
seas3mo;0.2412;10;0.452892802;(0.4,0.5];5
seas3mo;0.2412;10;0.450963849;(0.4,0.5];6
seas3mo;0.2412;10;0.467823414;(0.4,0.5];7
seas3mo;0.2412;10;0.463083254;(0.4,0.5];8
seas3mo;0.2412;10;0.451455977;(0.4,0.5];9
seas3mo;0.2412;10;0.464619769;(0.4,0.5];10
seas4mo;0.2412;12;0.571641001;(0.5,0.6];1
seas4mo;0.2412;12;0.560347082;(0.5,0.6];2
seas4mo;0.2412;12;0.568039297;(0.5,0.6];3
seas4mo;0.2412;12;0.561152146;(0.5,0.6];4
seas4mo;0.2412;12;0.564073736;(0.5,0.6];5
seas4mo;0.2412;12;0.561955121;(0.5,0.6];6
seas4mo;0.2412;12;0.582175139;(0.5,0.6];7
seas4mo;0.2412;12;0.561201101;(0.5,0.6];8
seas4mo;0.2412;12;0.578795504;(0.5,0.6];9
seas4mo;0.2412;12;0.576393288;(0.5,0.6];10
seas3mo;0.2412;14;0.53331443;(0.5,0.6];1
seas3mo;0.2412;14;0.521146207;(0.5,0.6];2
seas3mo;0.2412;14;0.529891057;(0.5,0.6];3
seas3mo;0.2412;14;0.539822168;(0.5,0.6];4
seas3mo;0.2412;14;0.534141606;(0.5,0.6];5
seas3mo;0.2412;14;0.543980054;(0.5,0.6];6
seas3mo;0.2412;14;0.548513319;(0.5,0.6];7
seas3mo;0.2412;14;0.540853621;(0.5,0.6];8
seas3mo;0.2412;14;0.534514158;(0.5,0.6];9
seas3mo;0.2412;14;0.544019507;(0.5,0.6];10
